id,length_mm,latency_sec,distance_swam_m
1,17,224,37.73252334
2,20,72,22.00321
3,19,30,38.25391116
4,21,64,45.24652242
5,20,135,24.65762435
6,24,280,27.27936417
13,23,404,25.51359864
14,21,307,53.2214498
15,21,88,36.77543215
16,24,526,34.20012379
17,22,590,36.59673917
18,25,128,50.85794618
25,25,140,77.88466944
26,23,42,15.44365052
27,22,122,31.24317362
28,23,369,63.30666049
29,20,313,58.11147298
30,23,65,24.80436419
37,23,238,34.97582357
38,17,56,27.1808
39,19,130,54.48165211
40,28,966,36.00676582
41,22,246,87.18869415
42,20,36,46.04221849
49,23,274,142.350604
50,22,241,40.32472099
51,22,79,33.28825817
52,20,112,60.81356107
53,26,114,50.7889165
54,24,188,54.15249417
61,21,108,25.43195707
62,20,137,35.51201094
63,22,158,22.90872887
64,21,79,26.09438593
65,25,201,26.89710245
66,28,1800,38.71563406
73,21,96,34.51644064
74,20,31,29.48286765
75,20,100,61.70490069
76,22,361,51.07695128
77,23,243,25.01159477
78,19,103,35.25067361
85,28,98,51.59196952
86,21,55,88.40237241
87,24,98,16.46353111
88,21,33,33.18455321
89,22,50,17.46798487
90,24,193,31.61244745
97,25,421,44.05668095
98,20,117,36.43122
99,25,332,29.48066713
100,21,530,37.6659361
101,25,105,52.08718098
102,26,175,38.02053922
103,23,84,38.86777424
104,23,68,43.40597442
105,21,46,25.61452115
106,22,138,21.17368858
107,21,51,44.6431372
108,22,59,28.13253747
109,23,213,38.19263637
110,19,36,21.09533
111,21,105,46.94041404
112,22,52,26.49125046
113,21,364,30.79262897
114,28,58,58.23572763
115,22,38,64.10418693
116,24,60,62.25801164
117,23,99,35.51786217
118,20,23,53.71463895
119,22,66,72.58614424
120,25,183,47.07737802
121,22,166,19.26220022
122,21,94,28.61048042
123,23,59,65.78836065
124,20,71,35.81423103
125,21,162,33.29079419
126,24,207,43.83520316
127,23,25,43.42982583
128,20,50,33.09688127
129,23,21,45.13661138
130,22,75,63.23414541
131,24,66,42.60137112
132,22,133,43.90275503
133,19,54,42.74522406
134,20,171,66.55614964
135,20,112,21.6657287
136,24,58,37.41471949
137,26,43,36.05059465
138,28,1800,38.26093011
139,23,143,150.5590923
140,22,32,58.16344185
141,22,57,46.34774847
142,20,96,36.54834437
143,30,288,95.22941311
144,27,70,83.92110943
7,20,48,60.88794821
8,25,25,50.96991944
9,22,427,28.32981084
10,19,61,38.97386341
11,20,41,45.480267
12,19,71,34.0211
19,14,56,29.34002547
20,16,81,62.98360881
21,22,237,96.78748008
22,27,801,76.80751983
23,24,66,38.30755503
24,21,78,39.41364623
31,20,96,25.91385909
32,19,90,69.13966015
33,24,162,60.61066941
34,24,220,43.54370443
35,21,51,73.04507943
36,19,145,15.6671
43,19,152,111.9959565
44,25,22,48.45023054
45,21,45,30.61234457
46,21,57,57.90588714
47,20,244,19.12105411
48,25,49,48.86788732
55,23,63,27.51154937
56,20,46,25.60467395
57,25,142,32.48607851
58,23,75,47.01148173
59,19,26,55.42225181
60,22,90,31.71790267
67,22,355,35.20240888
68,23,101,56.06583582
69,20,89,59.01313048
70,22,121,115.4836019
71,22,158,54.85010257
72,20,62,54.76315481
79,19,50,39.55197648
80,22,31,49.89194649
81,20,272,32.21212206
82,22,100,38.53356792
83,19,139,72.79482046
84,21,46,106.3014168
91,24,238,43.34423373
92,19,67,37.38090668
93,25,19,51.06229432
94,21,35,24.08588369
95,21,33,27.59454924
96,20,164,21.77262009
