source,target,weight
1,27,76.83333333
1,14,97.76666667
1,40,105.7
1,66,104.7
1,53,74.86666667
27,14,65.16666667
27,40,73.3
27,66,73.36666667
27,53,66.93333333
14,40,114.2666667
14,66,121.5
14,53,154.8333333
40,66,106
40,53,112.2666667
66,53,154.9333333
39,13,12.03333333
39,65,48.7
39,49,28.6
39,77,31.96666667
39,28,31.4
13,65,17.76666667
13,49,16.23333333
13,77,56.3
13,28,36.5
65,49,37.36666667
65,77,29.3
65,28,36.7
49,77,43.2
49,28,53.4
77,28,56.43333333
90,64,244.2333333
90,25,185.3666667
90,51,387.2333333
90,78,192.7
90,37,173.3666667
64,25,103
64,51,232.1
64,78,153.1
64,37,98.13333333
25,51,166.1333333
25,78,87
25,37,129.8333333
51,78,178.4666667
51,37,185.3666667
78,37,199.8
52,76,11.86666667
52,5,32.2
52,61,28.8
52,89,53.36666667
52,38,30.83333333
76,5,13.1
76,61,11.83333333
76,89,22.36666667
76,38,14.66666667
5,61,68.43333333
5,89,89.6
5,38,83.26666667
61,89,73.7
61,38,76.33333333
89,38,69.53333333
75,50,585.2
75,62,367.2666667
75,6,527.1333333
75,87,659.5333333
75,17,670.4333333
50,62,287.8333333
50,6,494.7333333
50,87,599.4
50,17,486.3
62,6,310.6
62,87,361.8666667
62,17,279.8
6,87,575.4666667
6,17,488.3666667
87,17,641.1
4,74,39.26666667
4,86,33.56666667
4,18,27.36666667
4,63,23.46666667
4,29,36.16666667
74,86,21.76666667
74,18,44.33333333
74,63,24.63333333
74,29,53.03333333
86,18,43.5
86,63,31.73333333
86,29,28.93333333
18,63,51.5
18,29,47.1
63,29,66.43333333
85,30,30.43333333
85,3,16.63333333
85,16,39.73333333
85,73,62.13333333
85,42,64.9
30,3,18.8
30,16,17.46666667
30,73,26
30,42,11.36666667
3,16,30.96666667
3,73,14.4
3,42,24.26666667
16,73,40.2
16,42,26.66666667
73,42,35.9
41,15,21.3
41,2,33.06666667
41,26,53.6
41,54,37.03333333
41,88,19.56666667
15,2,10.9
15,26,20.2
15,54,12.1
15,88,17.26666667
2,26,101.4333333
2,54,55.83333333
2,88,18.2
26,54,93.73333333
26,88,92.63333333
54,88,37.33333333
