"","FS1","FN2","FN3","FN4","FS5","FN6","FN7","FN8","FN9","FS10","MS11","MN12","MN13","MN14","MN15","MN16","MN17","MN18","MN19","MS20","MN21","MN22","MN23","MN24","MN25","MS26","MN27","MN28","MN29"
"FS1",0,0,0,0,0.009413355,0.009059909,0,0,0.009190618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150461,0,0,0
"FN2",0.002515618,0,0,0,0.004733168,0.005031236,0.005031236,0.002652403,0,0.002160294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FN3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FN4",0,0,0,0,0.00475009,0.006956873,0,0,0.002255215,0.002383506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002383506,0,0,0,0
"FS5",0,0,0.002366584,0,0,0.002366584,0,0,0,0.004733168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150461,0,0,0
"FN6",0,0,0,0.002383506,0,0,0,0,0,0.004379722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150461,0,0,0
"FN7",0.002340094,0,0,0.004767012,0.002070822,0,0,0.006794047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"FN8",0.00733259,0,0,0.002383506,0.002366584,0.004842264,0.002652403,0,0.007162833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002652403,0,0,0
"FN9",0,0,0.002908245,0.002383506,0.002255215,0,0,0,0,0,0.00451043,0,0,0,0,0,0,0,0,0.002255215,0,0,0,0,0,0,0,0,0
"FS10",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150461,0,0,0
"MS11",0.002497399,0,0,0.002497399,0.002366584,0.004379722,0.007065619,0.004994797,0.004752614,0.004994797,0,0,0,0,0.002497399,0,0.002497399,0,0,0,0,0,0,0,0,0,0,0.002497399,0
"MN12",0.007368167,0,0,0.002514037,0,0,0.002514037,0.005166439,0.002255215,0.004320588,0,0,0,0,0,0,0,0,0,0.002514037,0,0,0,0,0,0.002150461,0,0,0
"MN13",0.002318303,0,0,0,0,0.002318303,0,0.004970706,0.002318303,0,0.002318303,0,0,0,0,0,0,0,0,0.002318303,0,0.002041233,0,0,0,0.002150461,0,0,0
"MN14",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003305785,0,0,0,0,0,0,0,0,0
"MN15",0,0.007982339,0,0,0,0.002189861,0,0,0.002733361,0,0.002497399,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002733361,0,0,0.002733361,0
"MN16",0,0,0,0,0,0,0,0,0,0,0.002663707,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002663707,0,0,0,0
"MN17",0,0,0,0.002383506,0.002503024,0,0,0,0.002503024,0,0.007509073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002150461,0,0,0
"MN18",0.002340094,0,0,0,0.005703996,0.002189861,0,0.005304805,0.006674825,0.003337412,0.009172223,0,0,0,0,0,0,0,0,0.003337412,0,0,0,0,0,0.003337412,0,0,0
"MN19",0,0,0,0,0.006190188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006451382,0,0,0
"MS20",0,0,0,0,0.002366584,0.002362298,0,0.002362298,0.002362298,0,0.012216791,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002362298,0,0,0,0
"MN21",0.002473513,0.002515618,0,0,0,0.004663374,0.002473513,0,0.004947026,0,0.009894051,0,0,0,0.002473513,0,0,0,0,0,0,0,0,0.002473513,0,0,0,0,0
"MN22",0.002041233,0.002041233,0,0.002383506,0.004733168,0,0.004112055,0,0,0.002160294,0.002041233,0,0,0,0.002041233,0,0,0,0,0,0,0,0,0,0,0.002150461,0,0,0
"MN23",0,0.002515618,0,0,0.002366584,0,0.007473531,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004982354,0,0,0,0.003832397,0.002150461,0,0,0
"MN24",0.002340094,0.002515618,0,0.002298674,0.002366584,0,0,0,0,0.004458968,0.009194698,0,0,0.003305785,0,0,0,0,0,0.004724595,0,0,0,0,0,0,0.002946087,0,0
"MN25",0,0,0,0.002383506,0.003832397,0,0,0,0,0.002160294,0.002497399,0,0,0,0,0,0,0,0,0.002362298,0,0,0,0,0,0.007664793,0,0,0
"MS26",0,0,0,0,0.002366584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MN27",0,0.005461704,0,0.002946087,0,0,0,0,0.002255215,0,0.005892173,0,0,0,0,0,0,0,0,0.005892173,0,0,0.002946087,0,0,0,0,0,0
"MN28",0.004093049,0,0,0,0.004093049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MN29",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003554713,0,0
