Unnamed: 0,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
V1,0,9,26,11,9,10,9,9,7,7,6,10,9,10,8
V2,9,0,16,12,16,13,13,16,11,10,9,12,6,8,11
V3,26,16,0,22,21,17,24,25,20,12,14,15,13,11,12
V4,11,12,22,0,17,17,13,16,13,10,12,12,9,8,10
V5,9,16,21,17,0,14,16,17,16,13,9,14,13,10,10
V6,10,13,17,17,14,0,13,13,20,9,11,17,14,8,11
V7,9,13,24,13,16,13,0,22,19,13,13,14,12,8,10
V8,9,16,25,16,17,13,22,0,26,13,17,18,14,8,12
V9,7,11,20,13,16,20,19,26,0,11,18,14,17,6,10
V10,7,10,12,10,13,9,13,13,11,0,10,9,7,7,10
V11,6,9,14,12,9,11,13,17,18,10,0,6,13,5,11
V12,10,12,15,12,14,17,14,18,14,9,6,0,13,7,7
V13,9,6,13,9,13,14,12,14,17,7,13,13,0,10,14
V14,10,8,11,8,10,8,8,8,6,7,5,7,10,0,13
V15,8,11,12,10,10,11,10,12,10,10,11,7,14,13,0
