"","FS1","FS2","FS3","FS4","FN5","FN6","FN7","MN8","MN9","MN10","MN11","MN12","MN13","MN14","MN15","MS16","MN17","MS18"
"FS1",0,0,1.528532608,0,0,0.544949237,0,0.261096605,1.630171576,2.340289274,1.332702319,0.714526936,0,0,0.215321965,0,0,1.975045942
"FS2",0,0,3.521412302,0,0,0,3.000331083,0,2.244676564,0,0,2.237359556,0,0,0,0,0,1.15098172
"FS3",0.390631202,1.627630012,0,0.743111464,0,0,0,0,1.05589609,0.389066732,0,0.297427165,0.014291385,0.46208813,0,0.398358694,0.090512108,2.261533307
"FS4",1.933240245,0.179366088,0,0,0,0,2.965380136,0,0.427734557,0.188787655,2.089919545,0.319323641,1.190419081,2.767868904,2.305221084,0,1.270911821,3.475168627
"FN5",0.059547979,0,0,0,0,0.323798173,2.890733925,0.502816321,2.184446976,1.761982675,0.85186938,1.335799085,1.453585992,0.945523904,1.164296012,0,0,0
"FN6",7.341503726,0,0,0,0,0,0,0,0,0,1.416368693,0,0.721653017,0,0,0,0,0
"FN7",0,0,1.019337922,0.044247788,0,0,0,0,0,0,0,4.738312006,0,0,0,0,0,0
"MN8",0.168483302,0.074206404,0.084160381,0,0,0.288041319,0,0,4.562201994,0,0,0,4.072019487,0,0,0,0,0
"MN9",3.515269828,0.655263416,0.658339275,0,0.063230325,5.140681279,0,2.352540062,0,0,0,0,0.637882405,0,0,0,0,0
"MN10",6.941907927,0.911304895,1.005160778,0,0.037917297,0,1.208240991,0,0,0,0,0,0,0,0,0,0,0
"MN11",1.243105407,0,0,0,0,1.116408423,0.067359388,0,0,0,0,0,0,0,0,2.165641269,0,0
"MN12",0.410362284,4.759216073,0.191594184,1.181912273,1.437868743,0,4.940755249,0,0,0,0,0,0,0,0,0,0,0
"MN13",3.29781037,1.905884201,0,0,0,0,0.004916421,2.452797861,0,0,0,0,0,0,0,0,0,0
"MN14",0,0.032995522,0.486639997,0,0,0,0,0,0.654619843,0.723730418,0,0,0.748380906,0,0,0,0.657770177,0
"MN15",0.245749798,0,0.365224295,0.877308534,0.31611097,1.401151224,0,0,0,0,0,0,0,0,0,0,0,0
"MS16",0,0,0.226800577,0,0,0,0,3.33928817,0,0.129936742,0.700425935,0,0,0,0,0,1.163576176,1.188237306
"MN17",0,0.223112129,1.748665141,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MS18",0,1.874776448,0.212640168,1.624915368,0,0,0,0,0,0,0,0,0,0,0,0,0,0
